fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Zhang Weili,Joanna Jedrzejczyk,1,0,94 of 130,44 of 86,69 of 102,43 of 85,52 of 80,20 of 56,12 of 15,9 of 9,5 of 7,14 of 20,29 of 59,39 of 81,5 of 5,4 of 4,35 of 38,0 of 0,3 of 6,0 of 0,0,0,0,0,2:49,0:00,W,KO/TKO,2,2:28,Marc Goddard,http://ufcstats.com/fight-details/4305cb30533dac77
Andre Fialho,Jake Matthews,0,1,19 of 52,47 of 89,18 of 51,47 of 89,13 of 44,35 of 75,1 of 3,4 of 4,4 of 4,8 of 10,18 of 49,44 of 86,0 of 0,1 of 1,0 of 2,2 of 2,0 of 0,0 of 0,0,0,0,0,0:00,0:00,L,KO/TKO,2,2:24,Jason Herzog,http://ufcstats.com/fight-details/d7a7ba46c4f075d7
Jack Della Maddalena,Ramazan Emeev,1,0,18 of 36,7 of 24,18 of 36,7 of 24,11 of 26,6 of 22,7 of 10,1 of 2,0 of 0,0 of 0,11 of 29,7 of 24,3 of 3,0 of 0,4 of 4,0 of 0,0 of 0,1 of 2,0,1,0,0,0:03,0:25,W,KO/TKO,1,2:32,John Sharp,http://ufcstats.com/fight-details/f115a91066a77ee7
SeungWoo Choi,Josh Culibao,0,2,64 of 184,69 of 132,46 of 163,51 of 111,29 of 137,40 of 97,6 of 14,7 of 9,11 of 12,4 of 5,39 of 147,40 of 95,4 of 10,6 of 8,3 of 6,5 of 8,1 of 2,0 of 0,0,0,0,0,2:30,0:58,L,Decision - Split,3,5:00,Steve Perceval,http://ufcstats.com/fight-details/c94b153951be7590
Maheshate,Steve Garcia,2,0,7 of 10,9 of 21,7 of 10,7 of 19,6 of 8,7 of 15,1 of 2,0 of 4,0 of 0,0 of 0,7 of 10,4 of 15,0 of 0,0 of 1,0 of 0,3 of 3,0 of 0,0 of 0,0,0,0,0,0:00,0:35,W,KO/TKO,1,1:14,Marc Goddard,http://ufcstats.com/fight-details/4a116a55ffaa0d64
Brendan Allen,Jacob Malkoun,0,0,89 of 122,66 of 96,45 of 74,33 of 55,36 of 62,29 of 50,2 of 4,3 of 4,7 of 8,1 of 1,28 of 55,29 of 48,0 of 1,1 of 1,17 of 18,3 of 6,2 of 2,7 of 14,0,0,2,0,3:24,7:09,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/50eed57ea1390e16
Kyung Ho Kang,Batgerel Danaa,0,0,100 of 155,110 of 286,100 of 155,109 of 284,82 of 134,68 of 223,2 of 4,19 of 36,16 of 17,22 of 25,99 of 153,103 of 276,1 of 2,5 of 7,0 of 0,1 of 1,0 of 2,0 of 1,0,0,0,0,0:00,0:03,W,Decision - Unanimous,3,5:00,Thomas Fan,http://ufcstats.com/fight-details/029f5c36820fdc09
Liang Na,Silvana Gomez Juarez,0,1,4 of 17,10 of 14,4 of 17,8 of 12,4 of 17,8 of 12,0 of 0,0 of 0,0 of 0,0 of 0,4 of 17,6 of 9,0 of 0,2 of 3,0 of 0,0 of 0,0 of 2,0 of 0,0,0,0,0,0:09,0:00,L,KO/TKO,1,1:22,Steve Perceval,http://ufcstats.com/fight-details/f466cd99d02644e9
Ramona Pascual,Joselyne Edwards,0,0,65 of 113,175 of 280,63 of 109,164 of 268,23 of 63,22 of 83,20 of 24,65 of 98,20 of 22,77 of 87,44 of 86,152 of 251,19 of 23,12 of 17,0 of 0,0 of 0,1 of 11,0 of 3,0,0,0,0,1:02,0:52,L,Decision - Unanimous,3,5:00,John Sharp,http://ufcstats.com/fight-details/5f4a107d930e4852
Alexander Volkov,Jairzinho Rozenstruik,0,0,21 of 37,6 of 18,21 of 37,6 of 18,10 of 26,3 of 15,5 of 5,0 of 0,6 of 6,3 of 3,21 of 37,6 of 18,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,1,2:12,Herb Dean,http://ufcstats.com/fight-details/7a635063e5f1699b
Dan Ige,Movsar Evloev,0,0,47 of 114,144 of 213,42 of 106,68 of 129,25 of 85,50 of 109,14 of 18,12 of 14,3 of 3,6 of 6,38 of 102,51 of 110,1 of 1,2 of 2,3 of 3,15 of 17,0 of 0,9 of 16,0,0,0,0,0:10,6:47,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/aacb47949a572f25
Michael Trizano,Lucas Almeida,1,2,42 of 74,94 of 171,31 of 62,75 of 152,17 of 45,32 of 95,12 of 14,16 of 22,2 of 3,27 of 35,26 of 55,54 of 121,1 of 2,0 of 0,4 of 5,21 of 31,0 of 0,0 of 0,0,0,0,0,1:43,2:13,L,KO/TKO,3,0:55,Mark Smith,http://ufcstats.com/fight-details/344d60564cd136ff
Karine Silva,Poliana Botelho,0,0,23 of 75,19 of 26,17 of 68,19 of 26,9 of 49,10 of 17,5 of 8,6 of 6,3 of 11,3 of 3,12 of 63,19 of 26,0 of 0,0 of 0,5 of 5,0 of 0,1 of 1,0 of 0,1,0,0,0,0:47,0:00,W,Submission,1,4:55,Chris Tognoni,http://ufcstats.com/fight-details/3aa49ed298e4c34f
Ode Osbourne,Zarrukh Adashev,1,0,7 of 15,7 of 13,7 of 15,7 of 13,7 of 15,5 of 11,0 of 0,1 of 1,0 of 0,1 of 1,1 of 8,7 of 13,0 of 0,0 of 0,6 of 7,0 of 0,0 of 0,0 of 0,0,0,0,0,0:03,0:00,W,KO/TKO,1,1:01,Keith Peterson,http://ufcstats.com/fight-details/a679800d2e7c3be2
Alonzo Menifield,Askar Mozharov,0,0,55 of 59,11 of 20,19 of 22,2 of 11,18 of 21,1 of 9,1 of 1,1 of 2,0 of 0,0 of 0,3 of 6,2 of 11,0 of 0,0 of 0,16 of 16,0 of 0,2 of 3,0 of 0,0,0,0,0,4:19,0:00,W,KO/TKO,1,4:40,Herb Dean,http://ufcstats.com/fight-details/93969a7368dc2e14
Felice Herrig,Karolina Kowalkiewicz,0,0,59 of 126,102 of 146,55 of 122,82 of 123,34 of 92,54 of 94,20 of 28,23 of 24,1 of 2,5 of 5,49 of 116,57 of 96,6 of 6,17 of 18,0 of 0,8 of 9,0 of 2,0 of 2,0,2,0,0,0:01,3:10,L,Submission,2,4:01,Mark Smith,http://ufcstats.com/fight-details/4f2501e804c84abe
Joe Solecki,Alex Da Silva,0,1,91 of 144,54 of 96,33 of 82,35 of 76,32 of 81,20 of 58,0 of 0,11 of 12,1 of 1,4 of 6,30 of 77,29 of 67,1 of 3,1 of 2,2 of 2,5 of 7,1 of 4,0 of 0,3,0,0,0,4:51,5:55,W,Decision - Majority,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/e5e75d831670b401
Damon Jackson,Dan Argueta,0,0,47 of 71,103 of 141,32 of 53,27 of 59,23 of 44,24 of 56,6 of 6,3 of 3,3 of 3,0 of 0,19 of 40,16 of 42,5 of 5,10 of 15,8 of 8,1 of 2,2 of 4,1 of 3,1,0,1,1,10:25,2:44,W,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/04e6198326be4857
Niklas Stolze,Benoit Saint Denis,0,0,20 of 23,41 of 48,11 of 14,8 of 10,3 of 5,4 of 5,5 of 5,3 of 4,3 of 4,1 of 1,6 of 9,4 of 6,4 of 4,2 of 2,1 of 1,2 of 2,0 of 0,3 of 5,1,2,0,0,0:00,5:44,L,Submission,2,1:32,Mark Smith,http://ufcstats.com/fight-details/ed32da52aff68944
Johnny Munoz,Tony Gravely,0,1,2 of 7,6 of 16,2 of 7,5 of 15,0 of 5,4 of 12,0 of 0,0 of 0,2 of 2,1 of 3,2 of 7,2 of 11,0 of 0,0 of 0,0 of 0,3 of 4,0 of 1,0 of 0,0,0,0,0,0:00,0:03,L,KO/TKO,1,1:08,Chris Tognoni,http://ufcstats.com/fight-details/43d7d4b67be48553
Jeff Molina,Zhalgas Zhumagulov,0,0,129 of 226,68 of 146,56 of 148,37 of 112,43 of 133,10 of 74,6 of 7,17 of 26,7 of 8,10 of 12,49 of 139,28 of 103,5 of 7,9 of 9,2 of 2,0 of 0,0 of 0,2 of 13,0,0,0,0,0:14,5:32,W,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/7e20b0536fbbd560
Rinat Fakhretdinov,Andreas Michailidis,0,0,106 of 130,48 of 65,45 of 61,18 of 33,27 of 41,7 of 22,10 of 11,5 of 5,8 of 9,6 of 6,10 of 20,9 of 22,18 of 22,7 of 9,17 of 19,2 of 2,5 of 10,0 of 2,0,0,0,1,13:00,0:39,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/a09447d185a62251
Erin Blanchfield,JJ Aldrich,0,0,68 of 121,38 of 77,48 of 100,32 of 71,29 of 76,29 of 66,11 of 11,3 of 5,8 of 13,0 of 0,46 of 96,31 of 68,2 of 4,1 of 3,0 of 0,0 of 0,0 of 4,2 of 6,1,0,0,0,0:56,0:42,W,Submission,2,2:38,Chris Tognoni,http://ufcstats.com/fight-details/59b2bbb251968ca9
Holly Holm,Ketlen Vieira,0,0,188 of 263,122 of 190,96 of 157,85 of 151,26 of 79,49 of 109,34 of 40,29 of 34,36 of 38,7 of 8,76 of 133,49 of 110,20 of 24,32 of 37,0 of 0,4 of 4,0 of 6,1 of 7,0,1,0,0,10:03,1:24,L,Decision - Split,5,5:00,Jason Herzog,http://ufcstats.com/fight-details/7a2c841693b54dd7
Santiago Ponzinibbio,Michel Pereira,0,0,106 of 221,110 of 216,105 of 220,110 of 216,78 of 185,52 of 143,13 of 18,42 of 56,14 of 17,16 of 17,103 of 217,108 of 214,1 of 1,2 of 2,1 of 2,0 of 0,1 of 4,0 of 0,0,0,0,0,0:18,0:01,L,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/5d4fb748ad246269
Chidi Njokuani,Dusko Todorovic,1,0,19 of 23,9 of 11,14 of 17,5 of 7,3 of 4,4 of 6,8 of 10,1 of 1,3 of 3,0 of 0,5 of 7,0 of 2,9 of 10,4 of 4,0 of 0,1 of 1,0 of 0,2 of 7,1,0,0,0,0:50,3:13,W,KO/TKO,1,4:48,Mark Smith,http://ufcstats.com/fight-details/f682118709b4143e
Polyana Viana,Tabatha Ricci,0,0,126 of 212,72 of 126,36 of 97,33 of 73,18 of 74,11 of 43,11 of 14,3 of 8,7 of 9,19 of 22,29 of 86,21 of 57,3 of 7,0 of 1,4 of 4,12 of 15,0 of 0,5 of 10,0,0,0,0,0:09,9:31,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/5eaff5c832430378
Eryk Anders,JunYong Park,0,0,75 of 155,108 of 187,65 of 142,105 of 184,45 of 112,74 of 152,17 of 25,16 of 17,3 of 5,15 of 15,56 of 131,85 of 161,9 of 11,20 of 23,0 of 0,0 of 0,3 of 24,0 of 1,0,0,0,1,4:45,0:31,L,Decision - Split,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/4a789cdd5aaf4439
Joseph Holmes,Alen Amedovski,1,0,16 of 23,1 of 8,16 of 23,1 of 8,11 of 17,1 of 7,2 of 2,0 of 1,3 of 4,0 of 0,9 of 14,1 of 8,1 of 1,0 of 0,6 of 8,0 of 0,1 of 1,0 of 0,1,0,0,0,0:21,0:00,W,Submission,1,1:04,Herb Dean,http://ufcstats.com/fight-details/cbdfb3c648d7bada
Jailton Almeida,Parker Porter,0,0,36 of 58,0 of 0,18 of 34,0 of 0,16 of 32,0 of 0,2 of 2,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,17 of 33,0 of 0,1 of 2,0 of 0,1,0,0,0,4:29,0:00,W,Submission,1,4:35,Mark Smith,http://ufcstats.com/fight-details/1b4d0c9e3c59b33b
Omar Morales,Uros Medic,0,2,33 of 85,47 of 86,33 of 85,47 of 86,18 of 64,21 of 57,8 of 14,13 of 16,7 of 7,13 of 13,32 of 82,45 of 83,1 of 3,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:02,L,KO/TKO,2,3:05,Chris Tognoni,http://ufcstats.com/fight-details/534c07488396e124
Jonathan Martinez,Vince Morales,0,0,88 of 154,62 of 164,88 of 154,51 of 153,41 of 98,33 of 127,18 of 22,15 of 23,29 of 34,3 of 3,86 of 151,48 of 149,2 of 3,2 of 3,0 of 0,1 of 1,2 of 2,0 of 0,0,0,0,1,0:41,0:14,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/3542f9f30926f364
Chase Hooper,Felipe Colares,0,0,140 of 188,43 of 46,60 of 93,21 of 23,57 of 88,14 of 16,3 of 5,4 of 4,0 of 0,3 of 3,11 of 28,9 of 10,10 of 18,1 of 1,39 of 47,11 of 12,4 of 7,2 of 4,3,0,5,3,7:04,4:14,W,KO/TKO,3,3:00,Mark Smith,http://ufcstats.com/fight-details/5136dc566f46daf6
Elise Reed,Sam Hughes,0,0,70 of 100,130 of 161,17 of 41,43 of 65,10 of 34,33 of 51,7 of 7,6 of 10,0 of 0,4 of 4,13 of 37,7 of 19,4 of 4,6 of 10,0 of 0,30 of 36,0 of 0,4 of 7,0,0,0,0,0:00,11:59,L,KO/TKO,3,3:52,Chris Tognoni,http://ufcstats.com/fight-details/bc7228d30ff5be46
Jan Blachowicz,Aleksandar Rakic,0,0,53 of 94,61 of 125,31 of 71,27 of 85,8 of 31,14 of 60,9 of 21,2 of 9,14 of 19,11 of 16,31 of 69,17 of 70,0 of 2,0 of 0,0 of 0,10 of 15,0 of 0,1 of 4,1,0,0,0,0:01,4:33,W,KO/TKO,3,1:11,Mark Smith,http://ufcstats.com/fight-details/5c281439d20184f1
Ryan Spann,Ion Cutelaba,0,0,5 of 12,2 of 9,4 of 11,2 of 9,4 of 11,2 of 8,0 of 0,0 of 1,0 of 0,0 of 0,4 of 11,1 of 5,0 of 0,0 of 3,0 of 0,1 of 1,0 of 0,3 of 3,1,0,0,0,0:04,1:11,W,Submission,1,2:22,Herb Dean,http://ufcstats.com/fight-details/2fa88b72973478b6
Davey Grant,Louis Smolka,1,0,84 of 200,75 of 145,81 of 197,71 of 139,36 of 134,46 of 101,29 of 42,19 of 31,16 of 21,6 of 7,68 of 180,67 of 133,6 of 8,1 of 1,7 of 9,3 of 5,0 of 1,0 of 3,0,0,0,0,0:35,0:35,W,KO/TKO,3,0:49,Mike Beltran,http://ufcstats.com/fight-details/43543a2c1c7a7135
Katlyn Chookagian,Amanda Ribas,0,0,71 of 230,84 of 204,63 of 222,55 of 169,42 of 175,28 of 124,20 of 44,8 of 23,1 of 3,19 of 22,56 of 210,49 of 156,7 of 12,3 of 7,0 of 0,3 of 6,0 of 2,3 of 6,0,0,0,0,0:06,4:49,W,Decision - Split,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/fad150a0288efbd7
Frank Camacho,Manuel Torres,0,1,24 of 40,34 of 64,16 of 31,34 of 64,10 of 24,27 of 56,2 of 2,6 of 7,4 of 5,1 of 1,14 of 29,30 of 60,2 of 2,4 of 4,0 of 0,0 of 0,0 of 5,0 of 1,0,0,0,0,0:14,0:16,L,KO/TKO,1,3:27,Herb Dean,http://ufcstats.com/fight-details/e240d6f77747ec46
Jake Hadley,Allan Nascimento,0,0,26 of 47,36 of 69,8 of 29,19 of 52,5 of 25,7 of 32,3 of 4,8 of 16,0 of 0,4 of 4,3 of 20,10 of 27,1 of 1,1 of 2,4 of 8,8 of 23,0 of 0,2 of 4,1,0,1,3,3:50,9:27,L,Decision - Unanimous,3,5:00,Mike Beltran,http://ufcstats.com/fight-details/b3248692dfb954b2
Viviane Araujo,Andrea Lee,0,1,96 of 160,64 of 103,39 of 79,47 of 82,25 of 63,34 of 65,9 of 11,9 of 13,5 of 5,4 of 4,32 of 66,36 of 64,0 of 0,7 of 11,7 of 13,4 of 7,3 of 5,1 of 2,2,0,0,0,10:40,0:48,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/7e047b195135ef06
Michael Johnson,Alan Patrick,1,0,40 of 61,30 of 56,30 of 48,22 of 47,18 of 35,7 of 30,9 of 9,9 of 11,3 of 4,6 of 6,25 of 43,20 of 42,2 of 2,2 of 5,3 of 3,0 of 0,1 of 1,0 of 5,0,0,0,0,2:01,0:12,W,KO/TKO,2,3:22,Herb Dean,http://ufcstats.com/fight-details/8a1aa64eb1f17913
Virna Jandiroba,Angela Hill,0,0,92 of 151,44 of 86,14 of 60,21 of 55,13 of 52,14 of 42,1 of 8,7 of 13,0 of 0,0 of 0,13 of 58,19 of 52,1 of 2,2 of 2,0 of 0,0 of 1,3 of 8,1 of 2,0,0,0,1,7:04,2:08,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/f549164690d723bb
Tatsuro Taira,Carlos Candelario,1,0,89 of 132,21 of 47,57 of 87,9 of 34,45 of 74,6 of 27,5 of 6,3 of 6,7 of 7,0 of 1,15 of 30,9 of 34,2 of 2,0 of 0,40 of 55,0 of 0,1 of 5,2 of 5,3,1,2,3,6:57,3:28,W,Decision - Unanimous,3,5:00,Mike Beltran,http://ufcstats.com/fight-details/22f1133d02700bb2
Nick Maximov,Andre Petroski,0,0,4 of 11,1 of 10,4 of 11,1 of 10,2 of 7,0 of 8,2 of 3,0 of 0,0 of 1,1 of 2,4 of 11,1 of 10,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,0,1,0,0,0:00,0:23,L,Submission,1,1:16,Chris Tognoni,http://ufcstats.com/fight-details/afed0bac5ce5a2f3
Charles Oliveira,Justin Gaethje,1,1,33 of 52,21 of 33,30 of 47,21 of 33,18 of 32,13 of 22,11 of 13,3 of 3,1 of 2,5 of 8,20 of 34,15 of 26,8 of 10,6 of 7,2 of 3,0 of 0,0 of 1,0 of 0,2,0,0,0,0:39,0:13,W,Submission,1,3:22,Marc Goddard,http://ufcstats.com/fight-details/7d4e49d8a6678157
Rose Namajunas,Carla Esparza,0,0,38 of 137,30 of 133,37 of 136,30 of 133,30 of 122,15 of 108,6 of 12,4 of 11,1 of 2,11 of 14,36 of 135,27 of 128,1 of 1,3 of 5,0 of 0,0 of 0,1 of 1,2 of 11,0,0,0,0,0:10,0:22,L,Decision - Split,5,5:00,Keith Peterson,http://ufcstats.com/fight-details/9d61012a6020516e
Michael Chandler,Tony Ferguson,1,0,43 of 73,27 of 58,27 of 53,20 of 50,15 of 39,13 of 38,6 of 8,2 of 7,6 of 6,5 of 5,18 of 38,17 of 42,0 of 0,0 of 0,9 of 15,3 of 8,1 of 1,0 of 0,0,0,0,0,2:29,0:00,W,KO/TKO,2,0:17,Jason Herzog,http://ufcstats.com/fight-details/a2ebb5f86eb64f22
Mauricio Rua,Ovince Saint Preux,0,0,54 of 99,62 of 112,54 of 99,62 of 112,18 of 53,18 of 57,11 of 17,36 of 43,25 of 29,8 of 12,54 of 99,62 of 112,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:00,0:15,L,Decision - Split,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/c020ccbd7cdefb6e
Randy Brown,Khaos Williams,0,1,103 of 188,96 of 246,93 of 177,75 of 224,68 of 144,26 of 159,15 of 22,16 of 21,10 of 11,33 of 44,74 of 156,68 of 207,19 of 21,4 of 10,0 of 0,3 of 7,0 of 4,0 of 0,0,0,0,0,0:11,4:09,W,Decision - Split,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/8390441d93736719
Francisco Trinaldo,Danny Roberts,0,0,91 of 137,44 of 128,80 of 124,36 of 118,62 of 102,15 of 92,16 of 20,12 of 15,2 of 2,9 of 11,51 of 86,27 of 103,21 of 26,8 of 14,8 of 12,1 of 1,0 of 1,0 of 0,1,0,0,0,4:21,0:39,W,Decision - Unanimous,3,5:00,Ryan Brueggeman,http://ufcstats.com/fight-details/6a902b97ac98c283
Macy Chiasson,Norma Dumont,0,0,131 of 194,96 of 136,32 of 89,38 of 75,14 of 59,27 of 60,8 of 13,8 of 10,10 of 17,3 of 5,27 of 84,28 of 62,5 of 5,10 of 13,0 of 0,0 of 0,6 of 12,0 of 0,0,0,0,0,7:34,0:26,W,Decision - Split,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/fc4939b3c9071e66
Brandon Royval,Matt Schnell,0,1,14 of 39,15 of 36,14 of 39,12 of 33,9 of 33,9 of 29,2 of 3,3 of 4,3 of 3,0 of 0,13 of 37,10 of 28,1 of 1,0 of 0,0 of 1,2 of 5,0 of 0,0 of 0,1,0,0,0,0:13,0:54,W,Submission,1,2:14,Ryan Brueggeman,http://ufcstats.com/fight-details/80ac36a9dbc4b1a1
Blagoy Ivanov,Marcos Rogerio de Lima,0,0,75 of 142,81 of 147,62 of 128,68 of 133,53 of 118,46 of 107,9 of 10,18 of 20,0 of 0,4 of 6,54 of 118,58 of 115,8 of 10,10 of 18,0 of 0,0 of 0,0 of 4,1 of 5,0,0,0,0,3:52,2:04,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/ff6c8dab41efcc09
Andre Fialho,Cameron VanCamp,1,0,17 of 24,19 of 31,17 of 24,19 of 31,12 of 19,9 of 19,2 of 2,4 of 6,3 of 3,6 of 6,16 of 23,19 of 31,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,0,0,0,0,0:02,0:00,W,KO/TKO,1,2:35,Marc Goddard,http://ufcstats.com/fight-details/397dd9a8694ef413
Tracy Cortez,Melissa Gatto,0,0,70 of 102,49 of 95,36 of 66,30 of 73,25 of 51,25 of 61,6 of 9,3 of 7,5 of 6,2 of 5,14 of 37,27 of 69,2 of 2,0 of 1,20 of 27,3 of 3,2 of 3,3 of 6,1,1,1,1,7:54,3:17,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/60d9d50b763adc62
Kleydson Rodrigues,CJ Vergara,0,0,93 of 156,155 of 221,81 of 143,71 of 127,39 of 91,42 of 89,32 of 40,18 of 25,10 of 12,11 of 13,70 of 131,45 of 92,6 of 7,7 of 10,5 of 5,19 of 25,2 of 7,0 of 0,1,0,2,0,3:14,4:20,L,Decision - Split,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/8289033e03b4d9a3
Ariane Carnelossi,Loopy Godinez,0,0,23 of 35,130 of 173,9 of 20,46 of 61,7 of 18,36 of 49,1 of 1,10 of 12,1 of 1,0 of 0,4 of 13,11 of 19,3 of 5,8 of 12,2 of 2,27 of 30,0 of 1,8 of 8,0,2,0,0,0:00,13:26,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/88455c967a7ef6fc
Journey Newson,Fernie Garcia,0,0,63 of 150,38 of 104,57 of 143,37 of 103,23 of 92,24 of 84,21 of 30,6 of 12,13 of 21,7 of 7,52 of 138,37 of 101,1 of 1,0 of 2,4 of 4,0 of 0,2 of 3,0 of 0,0,0,0,0,0:42,0:02,W,Decision - Unanimous,3,5:00,Ryan Brueggeman,http://ufcstats.com/fight-details/430309e0f8a315d5
Rob Font,Marlon Vera,0,3,273 of 520,167 of 291,271 of 516,159 of 283,199 of 436,95 of 205,48 of 56,22 of 31,24 of 24,42 of 47,256 of 496,133 of 246,15 of 20,4 of 4,0 of 0,22 of 33,1 of 2,0 of 0,0,0,0,0,0:18,2:05,L,Decision - Unanimous,5,5:00,Jason Herzog,http://ufcstats.com/fight-details/5ae5eb729c6bb169
Andrei Arlovski,Jake Collier,0,0,105 of 178,132 of 231,91 of 164,93 of 188,66 of 137,77 of 168,15 of 17,7 of 10,10 of 10,9 of 10,82 of 152,81 of 171,8 of 11,12 of 17,1 of 1,0 of 0,0 of 0,2 of 3,0,0,0,0,0:01,3:38,W,Decision - Split,3,5:00,Mark Smith,http://ufcstats.com/fight-details/eb277b5ea2a19124
Andre Fili,Joanderson Brito,0,1,6 of 15,14 of 20,6 of 15,14 of 20,6 of 15,12 of 18,0 of 0,0 of 0,0 of 0,2 of 2,6 of 15,5 of 6,0 of 0,0 of 0,0 of 0,9 of 14,0 of 0,0 of 0,0,0,0,0,0:00,0:07,L,KO/TKO,1,0:41,Herb Dean,http://ufcstats.com/fight-details/632c2d4ed12f2bdf
Jared Gordon,Grant Dawson,0,0,111 of 153,98 of 163,77 of 119,54 of 111,48 of 83,42 of 96,21 of 26,11 of 14,8 of 10,1 of 1,59 of 98,40 of 97,14 of 16,9 of 9,4 of 5,5 of 5,0 of 0,7 of 17,0,2,0,0,1:12,7:11,L,Submission,3,4:11,Keith Peterson,http://ufcstats.com/fight-details/7c8701bb78cb4de8
Darren Elkins,Tristan Connelly,0,0,165 of 259,106 of 158,75 of 151,66 of 117,66 of 141,48 of 96,9 of 10,9 of 12,0 of 0,9 of 9,38 of 107,42 of 87,29 of 34,21 of 27,8 of 10,3 of 3,5 of 10,0 of 0,1,0,0,0,7:52,0:58,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/760e3f292b834637
Krzysztof Jotko,Gerald Meerschaert,0,0,129 of 195,46 of 101,65 of 124,37 of 91,51 of 102,17 of 70,8 of 15,8 of 9,6 of 7,12 of 12,52 of 110,28 of 80,7 of 8,9 of 11,6 of 6,0 of 0,4 of 4,1 of 4,0,0,0,0,5:25,1:54,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/6b956992204ec040
Alexandr Romanov,Chase Sherman,0,0,11 of 17,0 of 0,8 of 14,0 of 0,8 of 14,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,8 of 14,0 of 0,3 of 3,0 of 0,1,0,0,0,1:58,0:00,W,Submission,1,2:11,Mark Smith,http://ufcstats.com/fight-details/d2484d74f819d813
Daniel Lacerda,Francisco Figueiredo,0,0,5 of 7,5 of 5,4 of 6,5 of 5,1 of 3,0 of 0,1 of 1,1 of 1,2 of 2,4 of 4,4 of 6,5 of 5,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0,1,0,0,0:28,0:00,L,Submission,1,1:18,Keith Peterson,http://ufcstats.com/fight-details/7e4b7a70838e5ba4
Gabe Green,Yohan Lainesse,0,1,54 of 129,42 of 81,48 of 123,41 of 80,26 of 98,15 of 40,13 of 16,11 of 16,9 of 9,15 of 24,36 of 105,35 of 74,4 of 5,3 of 3,8 of 13,3 of 3,0 of 0,2 of 4,0,1,0,0,0:41,1:37,W,KO/TKO,2,4:02,Herb Dean,http://ufcstats.com/fight-details/5b731da9e4be4391
Natan Levy,Mike Breeden,0,0,99 of 150,115 of 221,92 of 141,104 of 210,68 of 115,64 of 158,19 of 21,39 of 51,5 of 5,1 of 1,80 of 124,89 of 185,4 of 8,13 of 22,8 of 9,2 of 3,9 of 16,3 of 4,0,0,0,0,3:39,1:56,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/9217ecc287ac482d
Gina Mazany,Shanna Young,0,0,57 of 95,62 of 118,48 of 86,49 of 102,15 of 50,34 of 79,24 of 27,12 of 20,9 of 9,3 of 3,43 of 77,33 of 78,5 of 9,2 of 2,0 of 0,14 of 22,1 of 5,0 of 0,0,0,0,1,1:22,0:57,L,KO/TKO,2,3:11,Jason Herzog,http://ufcstats.com/fight-details/80cf37627a129145
